DESCRIPCION,CODIGO SAP,NOMBRE ITEM SAP,LINEA,VENTAS NETAS UNIDADES,VENTAS NETAS KILOS,VENTAS NETAS PESOS
THERM 5mm METAL BLAN ROL 24.4 ,65000169,THERM 5mm METAL BLAN ROL 24.4 ,TANQUES,-4,-22,-500524
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-3,-28,-245438
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-3,-28,-231000
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-3,-28,-245438
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-1,-24,-208622
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-1,-14,-115500
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-13,-138,-1155000
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-13,-238,-1963500
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-5,-55,-508200
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-10,-191,-1727880
TANQUE PLASTICO TOPTEC 250 L,T1005028425,JUEGO TANQUE TOPTEC 250 L,TANQUES,-38,-312,-2667938
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-3,-28,-243503
POZO SEPTICO 1000 LT ANAEROBIC,64000003,POZO SEPTICO 1000 LT ANAEROBIC,TANQUES,-3,-125,-1507500
POZO SEPTICO 500 LT ANAEROBICO,64000000,POZO SEPTICO 500 LT ANAEROBICO,TANQUES,-3,-77,-974250
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-1,-48,-404813
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-3,-96,-3
POZO SEPTICO 1000 LT ANAEROBIC,64000003,POZO SEPTICO 1000 LT ANAEROBIC,TANQUES,-1,-62,-753750
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-1,-14,-113854
POZO SEPTICO 1000 LT ANAEROBIC,64000003,POZO SEPTICO 1000 LT ANAEROBIC,TANQUES,-8,-374,-3768750
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-16,-310,-2357280
TANQUE PLASTICO TOPTEC 250 L,T1005028425,JUEGO TANQUE TOPTEC 250 L,TANQUES,-8,-62,-533588
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-1,-14,-104990
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-4,-144,-1125855
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-1,-48,-381000
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-1,-48,-376047
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-1,-24,-192889
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-1,-24,-192889
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-3,-96,-762000
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-3,-96,-791528
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-1,-48,-404813
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-3,-96,-790575
TANQUE PLASTICO TOPTEC 2000 L,T1005028420,JUEGO TANQUE TOPTEC 2000 L,TANQUES,-1,-48,-396764
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-1,-24,-220894
TANQUE PLASTICO TOPTEC 500 L  ,T1005028451,JUEGO TANQUE TOPTEC 500 L,TANQUES,-3,-28,-216563
TANQUE PLASTICO TOPTEC 250 L,T1005028425,JUEGO TANQUE TOPTEC 250 L,TANQUES,-3,-21,-167400
TANQUE PLASTICO TOPTEC 1000 L ,T1005028410,JUEGO TANQUE TOPTEC 1000 L,TANQUES,-1,-24,-220894
FILTRO ANAEROBICO 500 L       ,T1005009950,FILTRO ANAEROBICO 500 L,TANQUES,-1,-13,-132473
